Gene	SG1	SG2	SG3
AT1G04530	29.33784437	54.85741904	15.80473659
AT1G04550	11.78861789	33.1300813	55.08130081
AT1G04570	23.76237624	59.40594059	16.83168317
AT1G04620	27.20588235	47.05882353	25.73529412
AT1G04630	26.62601626	47.15447154	26.2195122
AT1G04640	14.39688716	29.18287938	56.42023346
AT1G04690	36.20689655	30.17241379	33.62068966
AT1G04710	19.66666667	63	17.33333333
AT1G04750	36.7816092	29.88505747	33.33333333
AT1G04770	28.00658979	25.37067545	46.62273476
AT1G04780	29.5045045	38.06306306	32.43243243
AT1G04790	32.54716981	34.43396226	33.01886792
AT1G04810	27.60736196	34.35582822	38.03680982
AT1G04830	36.64596273	40.99378882	22.36024845
AT1G04850	28.31168831	33.24675325	38.44155844
AT1G04860	23.75565611	46.3800905	29.86425339
AT1G04900	13.90728477	14.56953642	71.52317881
AT1G04910	31.87772926	33.18777293	34.93449782
AT1G04945	31.2390925	33.68237347	35.07853403
AT1G04950	59.77443609	19.54887218	20.67669173
AT1G04960	27.43190661	53.69649805	18.87159533
AT1G04970	37.67313019	34.62603878	27.70083102
AT1G04985	26.32508834	34.27561837	39.39929329
AT1G05010	29.99470568	55.59994224	14.40535207
AT1G05060	23.64864865	50.33783784	26.01351351
AT1G05090	35.31914894	24.46808511	40.21276596
AT1G05120	27.74390244	41.76829268	30.48780488
AT1G05140	18.04368471	39.03133903	42.92497626
AT1G05150	41.85840708	29.6460177	28.49557522
AT1G05170	39.22651934	45.5801105	15.19337017
AT1G05180	21.99488491	25.83120205	52.17391304
AT1G05190	25.53083923	41.40546006	33.06370071
AT1G05200	38.05309735	25.66371681	36.28318584
AT1G05205	29.26829268	57.72357724	13.00813008
AT1G05270	30.8411215	41.12149533	28.03738318
AT1G05300	36.75213675	26.4957265	36.75213675
AT1G05380	28.98550725	34.42028986	36.5942029
AT1G05385	29.57198444	26.45914397	43.9688716
AT1G05410	33.83685801	31.11782477	35.04531722
AT1G05430	32.76283619	36.9193154	30.31784841
AT1G05460	24.13793103	22.98850575	52.87356322
AT1G05470	47.70992366	20.99236641	31.29770992
AT1G05500	49.42965779	20.91254753	29.65779468
AT1G05520	21.1409396	46.30872483	32.55033557
AT1G05570	23.37662338	66.88311688	9.74025974
AT1G05590	19.48051948	49.13419913	31.38528139
AT1G05600	42.75862069	32.4137931	24.82758621
AT1G05620	27.50642674	41.38817481	31.10539846
AT1G05680	28.02030457	25.68527919	46.29441624
AT1G05690	21.85514612	44.21855146	33.92630241
AT1G05710	23.00884956	27.43362832	49.55752212
AT1G05720	8.667529107	46.05433376	45.27813713
AT1G05770	34.14634146	47.73519164	18.1184669
AT1G05805	34.3373494	28.91566265	36.74698795
AT1G05810	26.32696391	57.32484076	16.34819533
AT1G05830	28.16901408	42.95774648	28.87323944
AT1G05840	30.85399449	42.97520661	26.1707989
AT1G05850	17.707466	46.37801832	35.91451568
AT1G05860	32.11382114	37.80487805	30.08130081
AT1G05870	56.7626055	12.46483445	30.77256005
AT1G05910	39.13043478	33.54037267	27.32919255
AT1G05960	26.72131148	46.06557377	27.21311475
AT1G05970	28.11059908	36.17511521	35.71428571
AT1G06010	30.3030303	53.03030303	16.66666667
AT1G06040	26.08327153	39.08252993	34.83419854
AT1G06050	27.21311475	49.50819672	23.27868852
AT1G06060	16.37931034	62.06896552	21.55172414
AT1G06070	20.97264438	53.49544073	25.53191489
AT1G06110	37.94212219	17.36334405	44.69453376
AT1G06130	39.02116402	23.28042328	37.6984127
AT1G06150	24.62159435	39.55600404	35.82240161
AT1G06180	27.57936508	54.56349206	17.85714286
AT1G06190	31.5625	32.5	35.9375
AT1G06200	12.7090301	66.88963211	20.40133779
AT1G06210	27.77777778	27.5	44.72222222
AT1G06230	34.33433433	37.63763764	28.02802803
AT1G06240	68.93203883	15.53398058	15.53398058
AT1G06270	24.56140351	42.10526316	33.33333333
AT1G06380	53.22580645	31.65322581	15.12096774
AT1G06390	34.91735537	51.03305785	14.04958678
AT1G06400	56.18081181	16.7896679	27.0295203
AT1G06410	28.93258427	40.24879615	30.81861958
AT1G06430	22.219163	43.03414097	34.74669604
AT1G06460	33.57795417	26.22435225	40.19769357
AT1G06470	26.1627907	31.97674419	41.86046512
AT1G06510	24.85549133	42.77456647	32.3699422
AT1G06520	29.43548387	14.51612903	56.0483871
AT1G06530	36.24220837	22.08370436	41.67408727
AT1G06550	63.07692308	11.53846154	25.38461538
AT1G06570	11.31497369	32.16783217	56.51719415
AT1G06590	23.07692308	32.30769231	44.61538462
AT1G06645	50.51940951	5.139420448	44.34117004
AT1G06670	15.87301587	50.79365079	33.33333333
AT1G06680	39.46480601	27.8484895	32.68670449
AT1G06690	32.85714286	11.9047619	55.23809524
AT1G06700	17.1875	36.328125	46.484375
AT1G06710	21.95121951	34.14634146	43.90243902
AT1G06720	25.14285714	37.71428571	37.14285714
AT1G06730	36.52694611	26.94610778	36.52694611
AT1G06760	31.04251602	25.06309454	43.89438944
AT1G06780	35.10638298	27.30496454	37.58865248
AT1G06800	54.87179487	8.205128205	36.92307692
AT1G06820	68.11989101	15.05449591	16.82561308
AT1G06850	52.73631841	20.89552239	26.3681592
AT1G06870	40.95238095	29.76190476	29.28571429
AT1G06890	54.79219678	26.12383376	19.08396947
AT1G06900	36.23188406	26.44927536	37.31884058
AT1G06910	25.64102564	25.64102564	48.71794872
AT1G06950	26.82060391	39.78685613	33.39253996
AT1G06980	25.22522523	26.28992629	48.48484848
AT1G07000	50.47619048	32.38095238	17.14285714
AT1G07010	18.90153389	47.94656111	33.151905
AT1G07020	26.23413258	31.17066291	42.59520451
AT1G07030	33.58490566	35.8490566	30.56603774
AT1G07040	34.71451876	30.4730832	34.81239804
AT1G07080	44.99568594	39.25798102	15.74633305
AT1G07090	18.95424837	39.86928105	41.17647059
AT1G07110	26.90972222	39.88715278	33.203125
AT1G07140	26.45861601	32.97150611	40.56987788
AT1G07150	28.64250178	21.17981521	50.17768301
AT1G07170	33.51691581	42.95830055	23.52478363
AT1G07180	30.42735043	34.7008547	34.87179487
AT1G07210	23.01587302	27.77777778	49.20634921
AT1G07220	34.66666667	32.66666667	32.66666667
AT1G07230	42.47572816	26.45631068	31.06796117
AT1G07250	27.8551532	69.49860724	2.646239554
AT1G07280	38.80070547	38.18342152	23.01587302
AT1G07310	37.29626079	19.17545542	43.5282838
AT1G07320	35.89473684	32.10526316	32
AT1G07350	23.79089616	26.24466572	49.96443812
AT1G07360	31.13496933	36.04294479	32.82208589
AT1G07380	25.75107296	25.32188841	48.92703863
AT1G07400	14.97797357	15.85903084	69.16299559
AT1G07410	42.67990074	46.40198511	10.91811414
AT1G07420	36.8556701	23.84020619	39.30412371
AT1G07450	17.84197111	80.71367884	1.444350042
AT1G07470	13.62229102	57.58513932	28.79256966
AT1G07480	22.85115304	42.55765199	34.59119497
AT1G07510	20.40816327	46.12244898	33.46938776
AT1G07520	28.84615385	21.15384615	50
AT1G07530	39.4590846	29.75034674	30.79056865
AT1G07570	25.57077626	34.39878234	40.0304414
AT1G07615	38.57142857	35.71428571	25.71428571
AT1G07630	38.7755102	14.62585034	46.59863946
AT1G07640	34.22370618	31.88647746	33.88981636
AT1G07650	38.32417582	38.18681319	23.48901099
AT1G07700	17.6371308	61.60337553	20.75949367
AT1G07705	19.85294118	57.35294118	22.79411765
AT1G07720	30.70330969	37.20449173	32.09219858
AT1G07745	25.85034014	39.45578231	34.69387755
AT1G07770	34.42922374	37.04718417	28.52359209
AT1G07810	10.32258065	45.80645161	43.87096774
AT1G07830	12.67326733	44.15841584	43.16831683
AT1G07840	73.92344498	17.70334928	8.373205742
AT1G07870	23.80952381	24.33862434	51.85185185
AT1G07890	24.40016267	34.74312051	40.85671682
AT1G07910	14.75409836	50.81967213	34.42622951
AT1G07930	54.54056959	11.28425578	34.17517464
AT1G07940	55.79746835	20.25316456	23.94936709
AT1G07960	45.70383912	20.29250457	34.00365631
AT1G07970	34.54545455	25.45454545	40
AT1G07980	61.14649682	19.74522293	19.10828025
AT1G07985	24.31972789	15.81632653	59.86394558
AT1G07990	25.04145937	47.26368159	27.69485904
AT1G08010	31.06060606	38.63636364	30.3030303
AT1G08030	31.44104803	31.00436681	37.55458515
AT1G08060	24.86187845	38.12154696	37.01657459
AT1G08110	21.7630854	34.15977961	44.07713499
AT1G08125	48.25174825	42.30769231	9.440559441
AT1G08130	38.94736842	29.47368421	31.57894737
AT1G08180	28.48575712	23.988006	47.52623688
AT1G08190	25.36082474	44.12371134	30.51546392
AT1G08200	39.41441441	23.68082368	36.9047619
AT1G08210	41.12149533	24.29906542	34.57943925
AT1G08220	15.08379888	54.18994413	30.72625698
AT1G08230	44.85981308	14.95327103	40.18691589
AT1G08250	61.97183099	15.96244131	22.0657277
AT1G08310	35.44303797	25.3164557	39.24050633
AT1G08315	41.59482759	26.07758621	32.32758621
AT1G08360	32.05068043	39.79352417	28.1557954
AT1G08370	50.45317221	13.59516616	35.95166163
AT1G08380	27.19985384	47.6282915	25.17185466
AT1G08390	13.70558376	41.11675127	45.17766497
AT1G08400	36.95652174	38.4057971	24.63768116
AT1G08410	26.07003891	34.24124514	39.68871595
AT1G08420	28.39506173	53.08641975	18.51851852
AT1G08450	20.22058824	28.30882353	51.47058824
AT1G08465	15.38461538	25.44378698	59.17159763
AT1G08470	52.41090147	22.01257862	25.57651992
AT1G08480	17.96116505	51.13268608	30.90614887
AT1G08490	38.7409201	26.63438257	34.62469734
AT1G08510	31.41786384	23.79762648	44.78450968
AT1G08520	34.43443443	30.23023023	35.33533534
AT1G08530	35	27	38
AT1G08540	33.42140026	37.51651255	29.06208719
AT1G08550	32.01094391	42.81805746	25.17099863
AT1G08570	25.80891998	15.05247049	59.13860953
AT1G08600	21.64948454	42.26804124	36.08247423
AT1G08610	35.96491228	41.22807018	22.80701754
AT1G08620	26.07758621	39.65517241	34.26724138
AT1G08630	34.9377314	7.528329406	57.53393919
AT1G08640	32.25806452	39.03225806	28.70967742
AT1G08650	11.89189189	45.67567568	42.43243243
AT1G08660	31.00775194	43.79844961	25.19379845
AT1G08680	14.84771574	62.69035533	22.46192893
AT1G08700	29.95594714	29.29515419	40.74889868
AT1G08710	28.97196262	21.02803738	50
AT1G08720	38.65030675	30.67484663	30.67484663
AT1G08750	25.3968254	61.11111111	13.49206349
AT1G08760	34.06326034	24.33090024	41.60583942
AT1G08770	34.86842105	33.55263158	31.57894737
AT1G08780	42.51012146	28.34008097	29.14979757
AT1G08800	32.29166667	30.46875	37.23958333
AT1G08810	26.17801047	31.41361257	42.40837696
AT1G08820	33.6	33.44	32.96
AT1G08830	28.52058973	41.05236401	30.42704626
AT1G08840	28.26086957	43.47826087	28.26086957
AT1G08860	2.1484375	58.0078125	39.84375
AT1G08880	26.65615142	36.43533123	36.90851735
AT1G08910	17.46031746	18.25396825	64.28571429
AT1G08960	39.16666667	40	20.83333333
AT1G08970	41.3001912	27.10325048	31.59655832
AT1G09010	35.22727273	14.01515152	50.75757576
AT1G09020	34.70437018	35.47557841	29.82005141
AT1G09060	40.24390244	32.11382114	27.64227642
AT1G09070	23.51888668	35.52683897	40.95427435
AT1G09130	37.74725275	38.35164835	23.9010989
AT1G09140	30.59508409	46.89521345	22.50970246
AT1G09150	21.89054726	17.41293532	60.69651741
AT1G09160	35.0877193	38.01169591	26.9005848
AT1G09180	18.95604396	32.14285714	48.9010989
AT1G09195	21.02272727	38.06818182	40.90909091
AT1G09200	19.87341772	32.65822785	47.46835443
AT1G09230	30.51470588	42.27941176	27.20588235
AT1G09240	24.06852248	18.62955032	57.30192719
AT1G09250	40.98460292	27.67423015	31.34116694
AT1G09270	44.37299035	25.40192926	30.22508039
AT1G09280	40.78212291	29.60893855	29.60893855
AT1G09300	44.11764706	29.41176471	26.47058824
AT1G09310	54.41320871	7.939047896	37.64774339
AT1G09320	37.19008264	45.45454545	17.3553719
AT1G09330	35.25835866	25.53191489	39.20972644
AT1G09340	29.96108949	25.7846952	44.2542153
AT1G09400	11.09489051	83.94160584	4.96350365
AT1G09415	28.67451576	23.62324345	47.70224079
AT1G09420	27.09832134	31.65467626	41.2470024
AT1G09430	33.81088825	15.04297994	51.14613181
AT1G09440	27.65957447	36.17021277	36.17021277
AT1G09460	33.33333333	37.32193732	29.34472934
AT1G09520	26.01626016	34.95934959	39.02439024
AT1G09530	35.82677165	38.97637795	25.19685039
AT1G09560	34.7601476	44.35424354	20.88560886
AT1G09570	37.95527157	37.38019169	24.66453674
AT1G09575	40.46511628	34.88372093	24.65116279
AT1G09580	16.66666667	19.84126984	63.49206349
AT1G09590	32.26890756	36.97478992	30.75630252
AT1G09630	53.64583333	15.10416667	31.25
AT1G09640	44.22005571	25	30.77994429
AT1G09645	42.44343891	11.94570136	45.61085973
AT1G09660	30.34825871	52.23880597	17.41293532
AT1G09690	14.80709072	58.08133472	27.11157456
AT1G09700	25.19083969	35.11450382	39.69465649
AT1G09710	62.04819277	28.31325301	9.638554217
AT1G09730	30.88235294	37.5	31.61764706
AT1G09740	43.45794393	16.35514019	40.18691589
AT1G09760	25.33039648	25.33039648	49.33920705
AT1G09770	36.60629171	23.35557674	40.03813155
AT1G09780	28.82882883	50.45045045	20.72072072
AT1G09794	36.2745098	19.60784314	44.11764706
AT1G09795	48.57142857	25	26.42857143
AT1G09810	69.05829596	19.7309417	11.21076233
AT1G09830	32.14285714	33.03571429	34.82142857
AT1G09840	34.65909091	21.96969697	43.37121212
AT1G09850	30.76923077	34.35013263	34.8806366
AT1G09870	26.85421995	46.54731458	26.59846547
AT1G09900	41.8079096	29.94350282	28.24858757
AT1G09910	6.060606061	35.75757576	58.18181818
AT1G09920	17.17391304	31.52173913	51.30434783
AT1G09940	27.80269058	26.9058296	45.29147982
AT1G09960	17.01940035	50	32.98059965
AT1G09970	30.05122368	37.39328401	32.55549232
AT1G09980	43.19248826	32.3943662	24.41314554
AT1G10020	23.46625767	38.03680982	38.49693252
AT1G10030	24.84076433	43.31210191	31.84713376
AT1G10050	20	58.88888889	21.11111111
AT1G10070	30.54136874	40.80230291	28.65632835
AT1G10090	33.83084577	53.89718076	12.27197347
AT1G10095	26.20320856	39.03743316	34.75935829
AT1G10120	27.07006369	24.52229299	48.40764331
AT1G10130	44.18604651	37.20930233	18.60465116
AT1G10140	36.52120087	38.40916125	25.06963788
AT1G10150	18.43137255	24.90196078	56.66666667
AT1G10155	41.34615385	21.97802198	36.67582418
AT1G10170	23.77260982	34.10852713	42.11886305
AT1G10180	31.7535545	27.48815166	40.75829384
AT1G10200	24.96679947	30.81009296	44.22310757
AT1G10210	43.26241135	30.85106383	25.88652482
AT1G10230	9.262883235	28.04957599	62.68754077
AT1G10240	22.30769231	50.76923077	26.92307692
AT1G10270	31.96721311	26.2295082	41.80327869
AT1G10280	19.49152542	38.98305085	41.52542373
AT1G10290	33.91812865	40.35087719	25.73099415
AT1G10310	19.51219512	42.68292683	37.80487805
AT1G10320	24.27440633	39.84168865	35.88390501
AT1G10330	34.95145631	49.51456311	15.53398058
AT1G10340	38.37209302	41.86046512	19.76744186
AT1G10350	6.275579809	86.90313779	6.821282401
AT1G10370	40.39342038	27.20027132	32.40630829
AT1G10380	51.30111524	17.47211896	31.2267658
AT1G10390	29.58963283	42.54859611	27.86177106
AT1G10410	27.5	40.52631579	31.97368421
AT1G10430	35.66666667	29.33333333	35
AT1G10450	18.18181818	22.72727273	59.09090909
AT1G10470	25.97087379	32.76699029	41.26213592
AT1G10480	7.159624413	23.35680751	69.48356808
AT1G10490	18.0952381	33.33333333	48.57142857
AT1G10500	31.14511352	33.07008885	35.78479763
AT1G10510	26.171875	36.71875	37.109375
AT1G10520	44.44444444	11.11111111	44.44444444
AT1G10522	36.65158371	36.65158371	26.69683258
AT1G10570	28.31541219	45.16129032	26.52329749
AT1G10580	38.7755102	24.14965986	37.07482993
AT1G10600	41.6502947	32.22003929	26.12966601
AT1G10610	9.016393443	34.42622951	56.55737705
AT1G10650	36.37566138	31.61375661	32.01058201
AT1G10660	71.11111111	12.59259259	16.2962963
AT1G10670	13.7007874	48.18897638	38.11023622
AT1G10720	30.42328042	33.86243386	35.71428571
AT1G10740	17.04545455	55.17676768	27.77777778
AT1G10760	40.17467249	12.44541485	47.37991266
AT1G10820	21.91780822	47.94520548	30.1369863
AT1G10830	49.71428571	10.28571429	40
AT1G10840	18.29484902	10.47957371	71.22557726
AT1G10850	15.18987342	49.36708861	35.44303797
AT1G10865	53.73134328	31.34328358	14.92537313
AT1G10870	39.75903614	44.57831325	15.6626506
AT1G10890	19.12442396	28.57142857	52.30414747
AT1G10900	28.92938497	47.60820046	23.46241458
AT1G10910	34.95145631	33.98058252	31.06796117
AT1G10930	30.55555556	33.33333333	36.11111111
AT1G10950	24.29078014	32.80141844	42.90780142
AT1G10960	5.965551924	49.08222278	44.9522253
AT1G10970	15.34391534	62.6984127	21.95767196
AT1G11020	20.6741573	20.4494382	58.87640449
AT1G11050	22.68722467	26.8722467	50.44052863
AT1G11060	29.43722944	36.7965368	33.76623377
AT1G11090	36.04887984	34.82688391	29.12423625
AT1G11170	17.5257732	34.02061856	48.45360825
AT1G11180	33.78378378	18.91891892	47.2972973
AT1G11200	34.58646617	27.06766917	38.34586466
AT1G11240	63.70967742	21.77419355	14.51612903
AT1G11280	23.75690608	60.22099448	16.02209945
AT1G11290	15.88785047	62.61682243	21.4953271
AT1G11360	45.07978723	27.92553191	26.99468085
AT1G11380	22.38663484	70.35799523	7.255369928
AT1G11390	41.06583072	27.27272727	31.66144201
AT1G11410	21.48997135	48.42406877	30.08595989
AT1G11430	43.91143911	27.30627306	28.78228782
AT1G11440	46.93572496	22.122571	30.94170404
AT1G11475	43.67924528	14.43396226	41.88679245
AT1G11480	23.91048292	45.93639576	30.15312132
AT1G11545	43.04932735	8.968609865	47.98206278
AT1G11580	11.34020619	15.97938144	72.68041237
AT1G11600	3.565365025	14.17657046	82.25806452
AT1G11650	32.92737934	36.58096527	30.49165539
AT1G11660	28.75	34.16666667	37.08333333
AT1G11700	39.32358842	38.43508169	22.24132989
AT1G11710	35.32608696	33.69565217	30.97826087
AT1G11720	43.95604396	19.23076923	36.81318681
AT1G11750	23.83419689	32.64248705	43.52331606
AT1G11760	25.66666667	24.46666667	49.86666667
AT1G11800	8	75.2	16.8
AT1G11820	43.91304348	24.34782609	31.73913043
AT1G11840	54.33646813	22.98850575	22.67502612
AT1G11860	38.62928349	34.57943925	26.79127726
AT1G11870	53.38345865	30.82706767	15.78947368
AT1G11880	25.33333333	49.33333333	25.33333333
AT1G11890	37.96791444	37.78966132	24.24242424
AT1G11905	34.50881612	41.30982368	24.1813602
AT1G11910	33.41708543	35.82196698	30.7609476
AT1G11930	31.11432706	30.39073806	38.49493488
AT1G11950	22.97297297	30.40540541	46.62162162
AT1G11960	20.15706806	54.18848168	25.65445026
AT1G12000	13.88888889	41.11111111	45
AT1G12020	25.47169811	43.16037736	31.36792453
AT1G12050	37.73987207	31.5565032	30.70362473
AT1G12060	24.07407407	54.62962963	21.2962963
AT1G12120	43.2	16.8	40
AT1G12140	31.19170984	37.51295337	31.29533679
AT1G12200	46.39450591	25.67722243	27.92827165
AT1G12240	31.88662533	23.64924712	44.46412755
AT1G12244	31.08614232	25.09363296	43.82022472
AT1G12250	35.0896861	33.85650224	31.05381166
AT1G12310	24.32432432	31.16554054	44.51013514
AT1G12320	46.99186992	34.95934959	18.04878049
AT1G12330	31.78294574	29.19896641	39.01808786
AT1G12350	28.08219178	29.10958904	42.80821918
AT1G12370	48.8	16.8	34.4
AT1G12380	40	26	34
AT1G12390	39.05405405	32.56756757	28.37837838
AT1G12410	25.55948174	34.86454653	39.57597173
AT1G12420	13.34951456	57.03883495	29.61165049
AT1G12430	42.55319149	30.4964539	26.95035461
AT1G12440	40.51334403	21.19002479	38.29663118
AT1G12450	29.11764706	32.05882353	38.82352941
AT1G12460	37.5	42.04545455	20.45454545
AT1G12470	31.05022831	28.76712329	40.1826484
AT1G12480	26.80722892	43.97590361	29.21686747
AT1G12500	36.97247706	28.71559633	34.31192661
AT1G12520	44.28690575	22.60216847	33.11092577
AT1G12530	29.18660287	32.05741627	38.75598086
AT1G12580	32.40223464	30.30726257	37.29050279
AT1G12610	43.2160804	27.63819095	29.14572864
AT1G12640	46.40625	26.71875	26.875
AT1G12650	37.8600823	34.1563786	27.98353909
AT1G12680	35.29411765	35.62091503	29.08496732
AT1G12710	30.80168776	48.10126582	21.09704641
AT1G12750	58.57142857	14.28571429	27.14285714
AT1G12760	30.54499366	30.9252218	38.52978454
AT1G12770	35.67251462	23.68421053	40.64327485
AT1G12800	20.89552239	49.95024876	29.15422886
AT1G12810	58.94172806	19.69189551	21.36637642
AT1G12820	20	61.11111111	18.88888889
AT1G12830	33.84615385	36.56804734	29.58579882
AT1G12840	30.08849558	62.61061947	7.300884956
AT1G12880	29.43396226	19.62264151	50.94339623
AT1G12900	28.81304742	68.166717	3.020235578
AT1G12920	30.77948035	46.56895403	22.65156562
AT1G12930	33.74233129	39.26380368	26.99386503
AT1G12970	18.87417219	29.8013245	51.32450331
AT1G12990	47.70833333	30	22.29166667
AT1G13000	15.98173516	33.33333333	50.68493151
AT1G13020	25.40983607	46.17486339	28.41530055
AT1G13030	43.58974359	29.48717949	26.92307692
AT1G13060	36.36363636	19.79286536	43.84349827
AT1G13090	27.37819026	22.50580046	50.11600928
